taughtby(course44, person171, autumn_0001).
taughtby(course24, person240, autumn_0001).
taughtby(course12, person211, autumn_0001).
taughtby(course123, person150, autumn_0001).
taughtby(course44, person293, winter_0001).
taughtby(course143, person211, winter_0001).
taughtby(course50, person171, winter_0001).
taughtby(course170, person79, winter_0001).
taughtby(course15, person292, winter_0001).
taughtby(course32, person319, winter_0001).
taughtby(course158, person240, winter_0001).
taughtby(course24, person150, spring_0001).
taughtby(course52, person168, spring_0001).
taughtby(course16, person240, spring_0001).
taughtby(course173, person171, spring_0001).
taughtby(course64, person79, spring_0001).
taughtby(course44, person171, autumn_0102).
taughtby(course24, person211, autumn_0102).
taughtby(course156, person240, autumn_0102).
taughtby(course12, person79, autumn_0102).
taughtby(course143, person407, winter_0102).
taughtby(course170, person211, winter_0102).
taughtby(course44, person415, spring_0102).
taughtby(course24, person240, spring_0102).
taughtby(course52, person168, spring_0102).
taughtby(course50, person171, spring_0102).
taughtby(course39, person415, spring_0102).
taughtby(course123, person150, spring_0102).
taughtby(course76, person319, spring_0102).
taughtby(course44, person171, autumn_0203).
taughtby(course24, person240, autumn_0203).
taughtby(course44, person415, winter_0203).
taughtby(course52, person168, winter_0203).
taughtby(course141, person150, winter_0203).
taughtby(course12, person211, winter_0203).
taughtby(course16, person79, winter_0203).
taughtby(course24, person211, spring_0203).
taughtby(course170, person407, spring_0203).
taughtby(course15, person292, spring_0203).
taughtby(course168, person240, spring_0203).
taughtby(course64, person79, spring_0203).
taughtby(course44, person171, autumn_0304).
taughtby(course24, person79, autumn_0304).
taughtby(course156, person240, autumn_0304).
taughtby(course12, person407, autumn_0304).
taughtby(course76, person319, autumn_0304).
taughtby(course44, person415, winter_0304).
taughtby(course57, person150, winter_0304).
taughtby(course52, person168, winter_0304).
taughtby(course170, person79, winter_0304).
taughtby(course24, person407, spring_0304).
taughtby(course50, person171, spring_0304).
taughtby(course158, person240, spring_0304).
taughtby(course7, person415, spring_0304).
courselevel(course52, level_400).
samecourse(course65, course65).
samecourse(course86, course86).
samecourse(course131, course131).
samecourse(course128, course128).
samecourse(course82, course82).
samecourse(course132, course132).
sameproject(project50, project50).
sameproject(project58, project58).
sameproject(project104, project104).
sameproject(project20, project20).
sameproject(project74, project74).
sameproject(project62, project62).
sameproject(project17, project17).
sameproject(project82, project82).
sameproject(project24, project24).
sameproject(project127, project127).
sameproject(project131, project131).
sameproject(project38, project38).
sameproject(project41, project41).
sameproject(project100, project100).
sameproject(project76, project76).
sameproject(project111, project111).
sameproject(project124, project124).
sameproject(project77, project77).
sameproject(project11, project11).
sameproject(project52, project52).
sameproject(project51, project51).
sameproject(project115, project115).
sameproject(project141, project141).
sameproject(project70, project70).
sameproject(project146, project146).
sameproject(project150, project150).
sameproject(project73, project73).
sameproject(project42, project42).
sameproject(project36, project36).
sameproject(project13, project13).
sameproject(project85, project85).
sameproject(project7, project7).
sameproject(project121, project121).
sameproject(project0, project0).
sameproject(project33, project33).
sameproject(project29, project29).
sameproject(project84, project84).
sameproject(project90, project90).
sameproject(project83, project83).
sameproject(project97, project97).
sameproject(project113, project113).
sameproject(project116, project116).
sameproject(project143, project143).
sameproject(project66, project66).
sameproject(project101, project101).
publication(title25 , person284).
publication(title284 , person14).
publication(title110 , person14).
publication(title118 , person14).
publication(title71 , person14).
publication(title316 , person14).
publication(title118 , person318).
publication(title217 , person161).
publication(title55 , person161).
publication(title331 , person161).
publication(title250 , person161).
publication(title268 , person161).
publication(title271 , person161).
publication(title171 , person161).
publication(title120 , person347).
publication(title86 , person347).
publication(title338 , person347).
publication(title224 , person347).
publication(title260 , person347).
publication(title112 , person347).
publication(title97 , person347).
publication(title50 , person292).
publication(title103 , person292).
publication(title166 , person292).
publication(title72 , person292).
publication(title47 , person292).
publication(title41 , person292).
publication(title40 , person293).
publication(title13 , person240).
publication(title140 , person240).
publication(title217 , person240).
publication(title92 , person240).
publication(title167 , person240).
publication(title331 , person240).
publication(title26 , person240).
publication(title275 , person240).
publication(title333 , person240).
publication(title270 , person240).
publication(title208 , person240).
publication(title103 , person240).
publication(title268 , person240).
publication(title340 , person240).
publication(title192 , person240).
publication(title54 , person240).
publication(title177 , person240).
publication(title33 , person240).
publication(title10 , person240).
publication(title84 , person240).
publication(title161 , person240).
publication(title248 , person240).
publication(title102 , person240).
publication(title274 , person240).
publication(title47 , person240).
publication(title0 , person240).
publication(title82 , person240).
publication(title337 , person240).
publication(title344 , person240).
publication(title254 , person240).
publication(title119 , person240).
publication(title114 , person211).
publication(title259 , person211).
publication(title59 , person211).
publication(title160 , person211).
publication(title88 , person211).
publication(title24 , person211).
publication(title323 , person211).
publication(title190 , person211).
publication(title11 , person211).
publication(title199 , person211).
publication(title240 , person211).
publication(title335 , person211).
publication(title241 , person211).
publication(title212 , person211).
publication(title228 , person211).
publication(title345 , person211).
publication(title89 , person211).
publication(title165 , person211).
publication(title113 , person211).
publication(title233 , person211).
publication(title132 , person211).
publication(title310 , person211).
publication(title218 , person211).
publication(title71 , person211).
publication(title341 , person211).
publication(title207 , person211).
publication(title229 , person211).
publication(title292 , person211).
publication(title49 , person211).
publication(title238 , person211).
publication(title255 , person211).
publication(title329 , person211).
publication(title79 , person211).
publication(title325 , person211).
publication(title44 , person211).
publication(title25 , person211).
publication(title118 , person150).
publication(title140 , person415).
publication(title12 , person415).
publication(title182 , person415).
publication(title122 , person415).
publication(title208 , person415).
publication(title103 , person415).
publication(title347 , person415).
publication(title266 , person415).
publication(title340 , person415).
publication(title269 , person415).
publication(title5 , person415).
publication(title70 , person415).
publication(title179 , person415).
publication(title29 , person415).
publication(title72 , person415).
publication(title47 , person415).
publication(title0 , person415).
publication(title38 , person415).
publication(title290 , person415).
publication(title63 , person415).
publication(title82 , person415).
publication(title283 , person415).
publication(title337 , person415).
publication(title94 , person415).
publication(title147 , person415).
publication(title329 , person415).
publication(title297 , person415).
publication(title79 , person415).
publication(title312 , person415).
publication(title107 , person415).
publication(title273 , person415).
publication(title172 , person415).
publication(title295 , person415).
publication(title41 , person415).
publication(title325 , person415).
publication(title44 , person415).
publication(title87 , person415).
publication(title222 , person415).
publication(title236 , person415).
publication(title258 , person415).
publication(title301 , person415).
publication(title318 , person79).
publication(title115 , person79).
publication(title231 , person79).
publication(title226 , person79).
publication(title195 , person79).
publication(title162 , person185).
publication(title178 , person171).
publication(title225 , person171).
publication(title269 , person171).
publication(title150 , person171).
publication(title70 , person171).
publication(title63 , person171).
publication(title94 , person171).
publication(title147 , person171).
publication(title170 , person171).
publication(title125 , person171).
publication(title90 , person171).
publication(title114 , person407).
publication(title12 , person407).
publication(title259 , person407).
publication(title217 , person407).
publication(title92 , person407).
publication(title182 , person407).
publication(title59 , person407).
publication(title160 , person407).
publication(title55 , person407).
publication(title88 , person407).
publication(title167 , person407).
publication(title24 , person407).
publication(title323 , person407).
publication(title331 , person407).
publication(title190 , person407).
publication(title120 , person407).
publication(title250 , person407).
publication(title11 , person407).
publication(title284 , person407).
publication(title199 , person407).
publication(title240 , person407).
publication(title335 , person407).
publication(title270 , person407).
publication(title241 , person407).
publication(title212 , person407).
publication(title110 , person407).
publication(title268 , person407).
publication(title228 , person407).
publication(title347 , person407).
publication(title266 , person407).
publication(title192 , person407).
publication(title345 , person407).
publication(title5 , person407).
publication(title271 , person407).
publication(title89 , person407).
publication(title165 , person407).
publication(title113 , person407).
publication(title233 , person407).
publication(title179 , person407).
publication(title132 , person407).
publication(title177 , person407).
publication(title310 , person407).
publication(title171 , person407).
publication(title33 , person407).
publication(title218 , person407).
publication(title71 , person407).
publication(title341 , person407).
publication(title207 , person407).
publication(title229 , person407).
publication(title292 , person407).
publication(title316 , person407).
publication(title49 , person407).
publication(title38 , person407).
publication(title238 , person407).
publication(title283 , person407).
publication(title255 , person407).
publication(title224 , person407).
publication(title260 , person407).
publication(title297 , person407).
publication(title312 , person407).
publication(title273 , person407).
publication(title25 , person407).
publication(title258 , person407).
publication(title118 , person408).
publication(title118 , person353).
publication(title40 , person239).
publication(title13 , person13).
publication(title26 , person13).
publication(title275 , person13).
publication(title333 , person13).
publication(title54 , person13).
publication(title10 , person13).
publication(title84 , person13).
publication(title161 , person13).
publication(title248 , person13).
publication(title344 , person13).
publication(title50 , person352).
publication(title208 , person352).
publication(title103 , person352).
publication(title166 , person352).
publication(title314 , person352).
publication(title47 , person352).
publication(title86 , person352).
publication(title82 , person352).
publication(title79 , person352).
publication(title261 , person352).
publication(title87 , person352).
publication(title329 , person45).
publication(title79 , person45).
publication(title325 , person45).
publication(title44 , person45).
publication(title150 , person148).
publication(title125 , person148).
publication(title90 , person148).
publication(title162 , person193).
publication(title170 , person314).
publication(title107 , person314).
publication(title172 , person314).
publication(title295 , person314).
publication(title222 , person314).
publication(title301 , person314).
publication(title25 , person21).
publication(title122 , person262).
publication(title314 , person262).
publication(title29 , person262).
publication(title72 , person262).
publication(title290 , person262).
publication(title86 , person262).
publication(title261 , person262).
publication(title41 , person262).
publication(title102 , person257).
publication(title274 , person257).
publication(title254 , person257).
publication(title119 , person257).
publication(title269 , person73).
publication(title63 , person73).
publication(title318 , person380).
publication(title115 , person380).
publication(title231 , person380).
publication(title226 , person380).
publication(title195 , person380).
publication(title314 , person406).
publication(title86 , person406).
publication(title261 , person406).
publication(title118 , person208).
publication(title182 , person63).
publication(title178 , person63).
publication(title225 , person63).
publication(title5 , person63).
publication(title314 , person63).
publication(title86 , person63).
publication(title147 , person63).
publication(title261 , person63).
publication(title97 , person63).
publication(title222 , person63).
publication(title236 , person63).
publication(title301 , person63).
publication(title325 , person83).

