setParameter: stringsAreCaseSensitive = true;


ilPred_ReadyToFly(worldilp2010Ex1neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex105neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex107neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex108neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex109neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex113neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex114neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex116neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex119neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex120neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex121neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex123neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex125neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex127neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex128neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex131neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex134neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex135neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex137neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex141neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex142neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex143neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex145neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex148neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex149neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex151neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex155neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex156neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex157neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex159neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex160neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex163neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex166neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex167neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex169neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex171neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex174neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex175neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex177neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex179neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex181neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex182neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex184neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex187neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex188neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex190neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex195neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex196neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex198neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex200neg, uav, iLBoolean_false, step0).

